"period_end_date","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"cfo_change_in_working_capital","","53","-236","186","32","46","-504","6","-47","90","445","-51","192","113","36","-198","-213","254","4","430","96","505","75","13","165","535","-329","-273","1954","1007","-1138","185","-1581","4325","3186","347","-608","2684","-4957","62","-512","-1409","-1890","1383","2616","2741","443","568"
"cfo_deferred_tax","","69","272","35","-406","-24","-350","-60","248","-7","26","2","-58","-1","-33","4","-180","-223","-66","-383","-123","-77","-101","-23","-256","-84","26","-94","-225","-47","101","29","203","183","1","174","-395","477","213","-1506","-376","418","229","-786","748","-563","-453","-1097"
"cfo_stock_comp","","7","64","70","76","103","1106","179","184","170","224","239","273","274","314","353","845","694","763","757","746","746","817","824","831","867","1032","1010","814","955","1186","1039","972","1010","1303","1249","1274","1335","1695","1722","1784","1830","2549","2378","2407","2498","3352","3134"
"cfo_other_noncash_items","","-68","-283","-50","403","1","6","8","8","14","64","61","27","-7","-24","-6","1866","6","1","6","1725","13","6","4","7","5","7","6","6","8","10","1","-83","6","8","30","-5","6","43","7","62","-66","-22","-73","34","-221","188","517"
"cf_cfo","","345","129","565","510","441","240","250","681","719","1322","950","1231","1285","1341","1248","3452","1700","1880","2192","4548","3477","3665","4036","4930","5058","5360","6127","7671","7860","6298","7498","7618","9308","8616","9307","9083","11001","3877","9829","14040","12242","13247","14090","18104","14076","12196","9692"
"cfi_ppe_net","","-153","-132","-136","-185","-453","-413","-171","-198","-327","-268","-284","-483","-363","-469","-482","-517","-502","-549","-780","-692","-1132","-995","-1095","-1269","-1271","-1444","-1755","-2263","-2812","-3460","-3342","-4301","-3837","-3633","-3532","-4100","-3558","-3255","-3689","-4613","-4272","-4612","-4314","-5277","-5315","-7528","-9355"
"cfi_acquisitions_net","","-1","-3","-1","-19","-25","-550","-336","","-99","-122","-16","-131","","-19","-735","-4221","-257","-25","-27","-4","-1","-19","-61","-42","","-8","-98","-16","","","","","-50","-3","-71","-445","","","","","","-259","-71","-568","-853","-363","-34"
"cfi_investment_net","","","-1893","-851","-284","-241","-5485","117","735","94","-105","1034","-1905","-1508","68","4326","-1643","-2108","-11","-2526","-2055","-576","-3998","-1969","-643","-4631","-4010","-1892","-2717","1575","1092","-830","637","-2881","-313","-1508","509","-476","-338","-6875","-470","-600","-3264","4199","11844","1399","939","-328"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","","1","-4","193","445","-1","-2","1","-2","6","-3","","-15","-1","-2","-112","-235","23","21","33","25","33","41","8","-74","-18","-4","16","-7","-50","-16","-75","-21","","-61","61","","-75","-585","-6035","-90","-2","-60","-144","-170","-10","-7","16"
"cf_cfi","","-153","-2032","-795","-43","-720","-6450","-389","535","-326","-498","734","-2534","-1872","-422","2997","-6616","-2844","-564","-3300","-2726","-1676","-4971","-3117","-2028","-5920","-5466","-3729","-5003","-1287","-2384","-4247","-3685","-6768","-4010","-5050","-4036","-4109","-4178","-16599","-5173","-4874","-8195","-330","5829","-4779","-6959","-9701"
"cff_common_stock_net","","998","","","","","","","","","","","","","","","","","","","","","","","","-228","-150","-640","-958","-1774","-3349","-4256","-3500","-613","-1145","-1148","-1296","-1250","-1368","-1725","-1929","-3939","-7079","-13458","-20061","-9506","-5233","-6354"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","","-279","-53","-46","117","-9","-52","35","1361","-109","-91","-1591","-100","-84","-66","-49","-44","-47","-37","-23","-12","-312","","","","","","","","","","","500","-302","-84","-285","-104","-180","-46","-196","-158","-201","-70","-219","-173","-213","-298","9567"
"cff_dividend_paid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_other","","79","308","60","14","59","7092","472","-2675","-335","-58","-8","1625","346","536","487","-1424","418","379","338","-1155","2","4","-8","4","-764","-719","-891","-885","-829","-922","-901","-541","-508","-602","-586","-626","-592","-738","-990","-1120","-1045","-1400","-1575","-1508","-941","-1032","-1066"
"cf_cff","","798","255","14","131","50","7040","507","-1314","-444","-149","-1599","1525","262","470","438","-1468","371","342","315","-1167","-310","4","-8","4","-992","-869","-1531","-1843","-2603","-4271","-5157","-3541","-1423","-1831","-2019","-2026","-2022","-2152","-2911","-3207","-5185","-8549","-15252","-21742","-10660","-6563","2147"
"ebitda","","439","479","511","650","491","-604","553","747","606","792","1010","1406","1339","1647","1686","1566","1390","1732","1945","3103","2562","3319","3708","5181","3998","5130","5894","8205","6398","6897","6888","9045","4672","6128","8601","10326","7490","7667","9738","14638","13350","14353","12418","14599","10680","10337","7839"
"capex","","-153","-132","-136","-185","-453","-413","-171","-198","-327","-268","-284","-483","-363","-469","-482","-517","-502","-549","-780","-692","-1132","-995","-1095","-1269","-1271","-1444","-1755","-2263","-2812","-3460","-3342","-4301","-3837","-3633","-3532","-4100","-3558","-3255","-3689","-4613","-4272","-4612","-4314","-5277","-5315","-7528","-9355"
"fcf","","192","-3","429","325","-12","-173","79","483","392","1054","666","748","922","872","766","2935","1198","1331","1412","3856","2345","2670","2941","3661","3787","3916","4372","5408","5048","2838","4156","3317","5471","4983","5775","4983","7443","622","6140","9427","7970","8635","9776","12827","8761","4668","337"
"book_value","1547","","","","4284","5597","13309","14174","11755","11824","12349","13048","15470","16737","18346","21238","36096","37501","39452","41420","44218","47150","50383","54115","59194","62188","66481","71208","74347","77620","79382","80342","84127","86516","88762","93999","101054","105304","110447","117731","128290","133657","138227","133360","124879","123228","125767","124094"
"tangible_book_value","1451","","","","4122","5408","12500","12751","10367","10323","10718","11439","13748","15055","16674","17309","14186","15722","17822","19959","22946","26054","29461","33328","38537","41702","46166","50945","54242","57617","59546","60587","64532","67033","69434","74808","81445","85655","90559","97956","108617","114096","118494","113930","105048","102395","104573","102951"
