"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"roic","","","-0.47","-0.9","","-0.51","-0.29","-0.29","-0.34","-0.4","-0.4","-0.33","-0.2","-0.2","-0.26","0.17","0.62","0.8","0.96","0.9","0.77","0.62"
"roce","","","-0.37","-0.6899999999999999","","-0.46","-0.27","-0.28","-0.33","-0.38","-0.38","-0.32","-0.2","-0.19","-0.25","0.18","0.66","0.83","1","0.96","0.83","0.6899999999999999"
"rotce","","","-0.37","-0.6899999999999999","","-0.46","-0.27","-0.28","-0.33","-0.38","-0.38","-0.32","-0.2","-0.19","-0.25","0.18","0.66","0.83","1","0.96","0.83","0.6899999999999999"
"gross_margin","","","1","1","1","1","1","1","1","1","1","1","1","1","0.97","0.89","0.82","0.85","0.86","0.83","0.7","0.66"
"ebitda_margin","","","-0.41","-2.63","-3.53","-2.16","-4.44","-9.52","-13.58","-9.26","-11.5","-31","-3.93","-18.83","-1.17","0.73","0.74","0.75","0.79","0.72","0.55","0.4"
"operating_margin","","","-0.47","-2.82","-3.76","-2.34","-4.66","-10.03","-14.33","-9.800000000000001","-12.35","-32.75","-4.21","-19.58","-1.2","0.73","0.73","0.74","0.78","0.71","0.54","0.36"
"pretax_margin","","","-0.43","-2.64","-3.5","-2.19","-4.3","-9.390000000000001","-13.49","-9.25","-11.77","-31","-4.03","-19.33","-1.18","0.72","0.73","0.74","0.78","0.71","0.54","0.38"
"net_income_margin","","","-0.43","-2.64","-3.51","-2.19","-4.31","-9.390000000000001","-13.45","-9.24","-11.72","-31","-4.03","-19.42","-1.19","0.7","0.66","0.6899999999999999","0.7","0.62","0.48","0.32"
"fcf_margin","","","-1.3","-5.22","-3.19","-2.9","-3.19","-10.76","-11.88","-8.529999999999999","-10.09","-28","-1.48","72.83","5.41","1.68","0.96","0.66","0.46","0.44","0.05","0.05"
"assets_to_equity","1.68","","1.73","","","1.38","1.28","1.25","1.26","1.27","1.35","1.26","1.18","1.69","2.86","3.31","2.41","2.07","1.74","1.62","1.45","1.45"
"equity_to_assets","0.59","","0.58","","","0.72","0.78","0.8","0.79","0.79","0.74","0.79","0.85","0.59","0.35","0.3","0.42","0.48","0.57","0.62","0.6899999999999999","0.6899999999999999"
"debt_to_equity","0.01","","0.03","","","0.02","0.02","0.02","0.03","0.03","0.11","0.09","0.06","0.08","0.08","0.06","0.06","0.03","0.05","0.04","0.04","0.06"
