Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,29.459204,31.166983,29.459204,30.996204,28.280811,29943508
2020-03-31,30.740038,31.309298,30.588236,30.967743,28.254845,29466151
2020-04-01,30.284630,30.626186,29.914612,30.123341,27.484413,26709625
2020-04-02,30.265656,31.309298,30.123341,31.185959,28.453939,27186876
2020-04-03,30.958254,32.153702,30.958254,31.916510,29.120489,32837370
2020-04-06,32.182163,33.111954,32.049335,32.798862,29.925549,40503217
2020-04-07,33.206833,33.368122,31.869070,31.888046,29.094521,24226295
2020-04-08,32.248577,33.017078,31.726755,32.827324,29.951513,25523980
2020-04-09,33.235294,33.937382,33.064514,33.576851,30.635382,30648107
2020-04-13,34.117645,34.136623,32.941177,33.339657,30.418961,18270141
2020-04-14,34.089184,34.753323,33.529411,34.573055,31.544310,21845309
2020-04-15,34.212524,34.373814,33.757114,34.127136,31.137455,21312196
2020-04-16,34.269451,34.402279,33.757114,34.041744,31.059547,20657451
2020-04-17,34.629982,35.104362,34.259960,35.018974,31.951164,24404843
2020-04-20,34.516129,35.018974,34.231499,34.231499,31.232679,22530620
2020-04-21,33.946869,34.089184,33.557877,33.795067,30.834478,23975233
2020-04-22,35.066414,35.104362,34.269451,34.392788,31.379835,20182624
2020-04-23,34.421253,35.483871,34.421253,34.810246,31.760727,20185365
2020-04-24,34.952560,35.512333,34.895638,35.464897,32.358028,17353794
2020-04-27,35.664139,36.565464,35.645161,36.366222,33.180389,23394057
2020-04-28,37.049335,37.210625,35.464897,35.967743,32.816826,35666728
2020-04-29,36.489563,36.574951,35.777988,36.166985,32.998608,26518535
2020-04-30,36.053131,36.537003,35.445919,36.394688,33.206364,29450973
2020-05-01,35.910816,35.996204,35.474384,35.711575,32.583092,22679867
2020-05-04,35.673622,35.977230,35.493359,35.692600,32.565784,19893512
2020-05-05,36.821632,36.869068,36.309299,36.537003,33.336212,24123952
2020-05-06,36.973434,37.011387,36.537003,36.537003,33.336212,24047432
2020-05-07,36.442123,36.518028,35.000000,35.066414,32.313301,33546080
2020-05-08,35.341557,35.464897,35.142315,35.313091,32.540619,19893618
2020-05-11,35.341557,36.252373,35.256168,36.148006,33.309978,25620421
2020-05-12,36.166985,36.280834,35.426945,35.445919,32.663013,19335314
2020-05-13,35.398483,35.502846,34.715370,35.151802,32.391987,24596882
2020-05-14,34.914612,36.015179,34.895638,35.977230,33.152611,22362507
2020-05-15,36.015179,36.214420,35.474384,35.825428,33.012726,25460002
2020-05-18,36.375713,36.489563,35.702087,36.119545,33.283752,22635177
