revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
821.839,285.222,96.842,62.46,62.46,367.983,377.09,159.199,1190.113,305.345,143.993,57.242,1961.558,967.966,1573.206,388.352,1961.558,62.46,49.531,-14.08,-23.958,319.201,-14.08,35.451,388.352,-181.858,0.35,5.05,367.529,2011-09
875.575,300.42,61.872,35.219,35.219,375.137,388.164,508.053,1830.857,306.038,136.353,55.052,3069.196,1225.055,2426.386,642.81,3069.196,35.219,65.466,-10.656,398.997,377.731,-10.656,54.81,642.81,-404.124,0.34,4.77,387.79,2011-12
869.791,245.858,-1.935,-4.584,-4.584,388.192,388.192,395.992,2058.741,306.284,128.197,1293.521,3480.459,1446.666,2817.057,663.402,3480.459,-4.584,19.109,-4.766,4.032,369.178,-4.766,14.343,663.402,663.402,0.28,5.25,388.609,2012-03
889.163,245.735,16.154,6.164,6.164,388.682,411.663,402.251,2137.785,310.298,124.644,1215.861,3478.29,1498.844,2790.064,688.226,3478.29,6.164,19.407,-3.359,-0.117,419.502,-3.359,16.048,688.226,688.226,0.28,5.05,388.74,2012-06
905.089,242.451,16.135,7.675,7.675,388.787,411.103,370.298,2225.018,329.833,133.603,83.646,3808.833,1598.223,3091.993,716.84,3808.833,7.675,-2.925,-10.808,-0.158,451.342,-10.808,-13.733,716.84,-649.726,0.27,5.31,388.819,2012-09
945.239,223.18,19.638,7.897,7.897,388.92,413.903,290.291,2240.791,336.037,131.681,89.409999999999,3967.89,1675.926,3223.217,744.673,3967.89,7.897,-14.005,-21.345,1.832,512.053,-21.345,-35.35,744.673,-761.335,0.24,5.33,389.11,2012-12
1023.961,287.009,31.822,2.689,2.689,391.804,421.022,418.051,2557.1,337.751,129.319,100.196,4363.289,1688.714,3550.37,812.919,4363.289,2.689,-12.25,-12.118,321.582,547.85,-12.118,-24.368,812.919,-763.755,0.28,5.37,393.008,2013-03
1069.372,308.698,57.117,29.471,29.471,407.344,424.13,370.678,2570.322,347.704,127.931,100.296,4480.751,1670.264,3375.129,1105.622,4480.751,29.471,33.943,-8.088,48.959,597.102,-8.088,25.855,1105.622,-576.58,0.29,4.05,412.457,2013-06
1105.999,307.099,57.12,31.822,31.822,413.756,426.93,439.056,2849.278,344.419,127.263,116.397,4901.325,1935.136,3696.955,1204.37,4901.325,31.822,34.693,-10.828,45.795,639.512,-10.828,23.865,1204.37,-604.017,0.28,4.07,414.805,2013-09
1175.23,354.553,82.288,48.421,48.421,416.391,429.17,604.965,3058.763,357.196,133.605,129.124,5412.563,2154.203,4079.002,1333.561,5412.563,48.421,41.445,-23.109,59.928,685.563,-23.109,18.336,1333.561,-757.51,0.3,4.06,417.249,2013-12
1270.089,400.903,97.595,53.115,53.115,418.719,430.836,1157.45,3586.784,368.104,133.473,148.375,6048.106,2263.653,4569.748,1478.358,6048.106,53.115,36.359,-13.334,458.186,726.833,-13.334,23.025,1478.358,-701.116,0.32,4.09,419.582,2014-03
1340.407,425.559,129.6,71.018,71.018,419.974,431.441,1214.244,3668.38,386.805,141.715,166.931,6325.822,2335.124,4716.117,1609.705,6325.822,71.018,56.024,-19.869,28.473,798.537,-19.869,36.155,1609.705,-739.091,0.32,3.93,420.637,2014-06
1409.432,455.038,110.407,59.295,59.295,421.194,432.742,1183.217,3823.482,396.554,144.147,178.818,6778.329,2548.655,5053.455,1724.874,6778.329,59.295,-37.439,-21.032,30.662,829.187,-21.032,-58.471,1724.874,-907.008,0.32,3.93,421.725,2014-09
1484.728,470.396,65.046,83.371,83.371,422.26,432.527,1113.608,3927.053,414.691,149.875,192.246,7042.5,2663.154,5184.792,1857.708,7042.5,83.371,-38.461,-15.491,24.391,829.889,-15.491,-53.952,1857.708,-915.618,0.32,3.79,422.911,2014-12
1573.129,526.728,97.456,23.696,23.696,423.624,433.809,2454.777,5539.056,423.055,145.816,243.401,9240.626,3008.849,7331.412,1909.214,9240.626,23.696,-127.382,-13.036,1522.434,883.326,-13.036,-140.418,1909.214,-1403.139,0.33,4.84,424.345,2015-03
1644.694,522.942,74.835,26.335,26.335,425.34,436.097,2293.872,5600.51,453.169,171.396,242.188,9654.861,3220.069,7622.786,2032.075,9654.861,26.335,-181.343,-27.538,62.547,933.829,-27.538,-208.881,2032.075,-1608.692,0.32,4.75,426.005,2015-06
1738.355,564.397,73.641,29.432,29.432,426.869,437.606,2115.437,5569.713,472.305,181.268,273.496,9916.267,3341.418,7748.949,2167.318,9916.267,29.432,-195.969,-37.82,72.754,979.68,-37.82,-233.789,2167.318,-1724.472,0.32,4.58,427.388,2015-09
1823.333,573.968,59.894,43.178,43.178,427.689,438.277,1809.33,5431.84,470.758,173.412,284.802,10202.871,3529.624,7979.445,2223.426,10202.871,43.178,-244.745,-12.854,-17.458,1056.036,-12.854,-257.599,2223.426,-2089.391,0.31,4.59,427.94,2015-12
1957.736,588.196,49.453,27.658,27.658,428.117,437.993,1605.244,5543.836,471.501,166.254,292.024,11262.274,3933.632,8945.041,2317.233,11262.274,27.658,-228.59,-8.425,14.907,1143.213,-8.425,-237.015,2317.233,-2942.927,0.3,4.86,428.289,2016-03
2105.204,632.106,70.37,40.755,40.755,428.483,438.154,1390.925,5386.918,474.209,162.864,300.787,11593.507,4051.837,9177.673,2415.834,11593.507,40.755,-226.293,-10.814,17.612,1279.883,-10.814,-237.107,2415.834,-3327.104,0.3,4.8,428.725,2016-06
2290.188,757.344,106.036,51.517,51.517,428.937,438.389,969.158,5193.893,505.958,191.876,283.895,12347.338,4411.405,9818.372,2528.966,12347.338,51.517,-461.941,-27.366,16.639,1363.838,-27.366,-489.307,2528.966,-4148.708,0.33,4.88,429.145,2016-09
2477.541,595.561,153.934,66.748,66.748,429.746,440.068,1467.576,5720.291,544.604,250.395,341.423,13586.61,4586.657,10906.81,2679.8,13586.61,66.748,-557.16,-61.048,1042.472,1517.837,-61.048,-618.208,2679.8,-4594.701,0.24,5.07,430.054,2016-12
2636.635,979.611,256.942,178.222,178.222,430.6,445.458,1077.824,5660.33,566.683,275.083,394.571,14359.096,4911.229,11385.413,2973.683,14359.096,178.222,-343.856,-52.523,24.239,1596.272,-52.523,-396.379,2973.683,-5055.429,0.37,4.83,430.993,2017-03
2785.464,883.156,127.807,65.6,65.6,431.396,446.262,1918.777,6700.785,615.881,309.831,428.133,16517.223,5122.945,13404.723,3112.5,16517.223,65.6,-534.528,-65.231,1420.386,1713.663,-65.231,-599.759,3112.5,-5965.974,0.32,5.31,431.75,2017-06
2984.859,991.879,208.627,129.59,129.59,432.404,447.362,1746.469,6385.348,644.222,322.421,504.067,16951.54,5310.677,13624.179,3327.361,16951.54,129.59,-419.607,-33.963,34.422,1868.601,-33.963,-453.57,3327.361,-6412.343,0.33,5.09,432.731,2017-09
3285.755,805.067,245.303,185.517,185.517,433.121,448.155,2822.795,7669.974,641.218,319.404,652.309,19012.742,5466.312,15430.786,3581.956,19012.742,185.517,-487.957,-21.585,1597.943,1929.871,-21.585,-509.542,3581.956,-6789.099,0.25,5.31,433.393,2017-12
3700.856,1400.277,446.578,290.124,290.124,434.174,450.359,2593.666,7817.576,679.798,341.932,678.486,20152.797,6005.587,16132.067,4020.73,20152.797,290.124,-236.757,-37.17,56.014,2225.597,-37.17,-273.927,4020.73,-7294.073,0.38,5.01,434.657,2018-03
3907.27,1504.839,462.213,384.349,384.349,435.097,451.552,3906.357,9346.889,689.942,349.646,674.932,22663.537,6079.641,18166.937,4496.6,22663.537,384.349,-518.239,-27.323,1909.412,2310.92,-27.323,-545.562,4496.6,-7795.47,0.39,5.04,435.457,2018-06
3999.374,1468.246,480.668,402.835,402.835,435.809,451.919,3067.534,8729.981,727.115,371.152,856.653,23366.229,6298.24,18356.576,5009.653,23366.229,402.835,-690.411,-39.333,29.237,2423.555,-39.333,-729.744,5009.653,-8398.79,0.37,4.66,436.085,2018-09
4186.841,1453.441,215.767,133.934,133.934,436.397,451.127,3794.483,9694.135,786.8,418.281,910.843,25974.4,6487.32,20735.635,5238.765,25974.4,133.934,-1235.072,-70.12,2053.864,2260.399,-70.12,-1305.192,5238.765,-9712.376,0.35,4.96,436.599,2018-12
4520.992,1650.378,459.084,344.052,344.052,436.947,451.922,3348.557,4168.907,805.395,434.372,1726.568,27218.632,6857.807,21515.574,5703.058,27218.632,344.052,-379.799,-60.381,22.972,2607.331,-60.381,-440.18,5703.058,-15185.727,0.37,4.77,437.192,2019-03
4923.116,1917.459,706.419,270.65,270.65,437.587,452.195,5004.247,5877.157,837.511,452.399,1896.043,30171.339,6933.984,24065.791,6105.548,30171.339,270.65,-543.754,-39.584,2246.9,2963.83,-39.584,-583.338,6105.548,-15840.192,0.39,4.94,437.835,2019-06
5244.905,2146.986,980.239,665.244,665.244,438.09,451.552,4435.018,5327.758,884.596,481.992,1896.967,30941.711,7257.9,24080.206,6861.505,30941.711,665.244,-501.794,-45.333,11.989,3286.92,-45.333,-547.127,6861.505,-16373.489,0.41,4.51,438.251,2019-09
5467.434,2001.411,458.512,586.97,586.97,438.555,451.372,5018.437,6178.504,981.226,565.221,2727.42,33975.712,6855.696,26393.555,7582.157,33975.712,586.97,-1461.975,-107.737,2223.801,3065.999,-107.737,-1569.712,7582.157,-16922.41,0.37,4.48,438.807,2019-12
5767.691,2167.99,958.256,709.067,709.067,439.352,452.494,5151.884,6447.781,1087.011,650.455,2694.785,35059.91,7853.725,26650.616,8409.294,35059.91,709.067,259.912,-98.015,43.694,3470.158,-98.015,161.897,8409.294,-16857.595,0.38,4.17,439.781,2020-03
6148.286,2504.579,1357.928,720.196,720.196,440.569,453.945,7153.248,8564.139,1212.147,751.941,2704.084,37175.281,7626.418,27840.528,9334.753,37175.281,720.196,1041.076,-141.741,1090.965,3991.748,-141.741,899.335,9334.753,-15820.364,0.41,3.98,441.015,2020-06
6435.637,2567.886,1314.863,789.976,789.976,441.526,455.088,8392.391,9826.48,1302.303,828.118,2900.312,38622.543,7939.795,28289.22,10333.323,38622.543,789.976,1263.761,-109.811,68.665,4077.195,-109.811,1153.95,10333.323,-14734.31,0.4,3.74,441.795,2020-09
6644.442,2479.282,954.242,542.156,542.156,442.23,455.294,8205.55,9761.58,1454.973,960.183,3174.646,39280.359,7805.785,28215.119,11065.24,39280.359,542.156,-137.672,-148.356,33.987,3968.81,-148.356,-286.028,11065.24,-14318.71,0.37,3.55,442.895,2020-12
7163.282,3294.771,1959.856,1706.715,1706.715,443.224,455.641,8403.705,10107.508,1535.963,1015.419,2956.096,40123.014,7961.77,27238.934,12884.08,40123.014,1706.715,777.266,-81.001,-451.929,4714.793,-81.001,696.265,12884.08,-13159.911,0.46,3.11,443.384,2021-03
7341.777,3323.769,1847.63,1353.013,1353.013,443.159,455.129,7777.53,9604.276,1660.402,1107.437,2967.616,40970.969,7832.888,27107.098,13863.871,40970.969,1353.013,-63.761,-110.278,-480.273,4692.867,-110.278,-174.039,13863.871,-13427.769,0.45,2.96,442.596,2021-06
7483.467,3276.878,1755.253,1449.071,1449.071,442.778,454.925,7526.681,9415.787,1813.485,1220.114,3129.911,42739.857,8049.246,27425.24,15314.617,42739.857,1449.071,82.379,-167.327,-81.555,4788.557,-167.327,-84.948,15314.617,-13659.428,0.44,2.79,442.952,2021-09
7709.318,2469.743,631.77,607.429,607.429,443.464,455.798,6027.804,8069.825,1939.759,1323.453,4271.846,44584.663,8488.966,28735.415,15849.248,44584.663,607.429,-403.274,-165.979,-136.019,4437.071,-165.979,-569.253,15849.248,-15070.291,0.32,2.81,443.963,2021-12
7867.767,3583.062,1971.626,1597.447,1597.447,444.146,452.984,6008.946,8098.015,2073.895,1383.763,4657.206,45330.904,7739.656,27786.865,17544.039,45330.904,1597.447,922.839,-121.158,-686.322,5212.593,-121.158,801.681,17544.039,-13647.881,0.46,2.58,444.274,2022-03
7970.141,3279.386,1578.283,1440.951,1440.951,444.557,450.169,5819.449,7840.778,2026.816,1361.92,4615.038,46350.935,7500.022,27274.961,19075.974,46350.935,1440.951,102.75,-90.018,11.25,4923.136,-90.018,12.732,19075.974,-13457.225,0.41,2.43,444.706,2022-06
7925.589,3136.924,1533.018,1398.242,1398.242,444.878,450.344,6113.733,8816.903,2082.776,1372.754,4595.19,47562.187,7765.924,27034.046,20528.141,47562.187,1398.242,556.81,-84.96,4.113,5271.798,-84.96,471.85,20528.141,-12249.199,0.4,2.32,444.706,2022-09
